Outlet_Identifier,Item_Identifier,Item_Outlet_Sales
OUT049,FDW58,1202.7151
OUT049,FDU11,2170.516
OUT049,FDM24,2597.8293
OUT049,FDG02,2718.3103
OUT049,NCX06,3086.9841
OUT049,DRG49,5390.8584
OUT049,FDM22,1034.1328
OUT049,FDC60,1804.1763
OUT049,DRI49,1390.7083
OUT049,FDR60,1191.4929
OUT049,DRN36,1732.5897
OUT049,FDL46,1753.4613
OUT049,FDS35,1071.5619
OUT049,DRI39,775.66907
OUT049,FDV40,1037.4058
OUT049,FDK44,2372.716
OUT049,NCN18,1461.4199
OUT049,DRI59,4176.605
OUT049,FDM20,5557.7114
OUT049,FDS59,1615.4558
OUT049,NCC55,777.12787
OUT049,NCU18,2475.848
OUT049,FDU01,3134.669
OUT049,FDQ46,2017.9286
OUT049,FDA45,682.83777
OUT049,FDG14,3231.7854
OUT049,FDU14,4460.765
OUT049,FDI56,1570.4795
OUT049,FDS52,1176.7037
OUT049,FDN20,2727.6265
OUT049,FDV56,1718.5057
OUT049,FDX57,1578.6802
OUT049,FDH19,2026.3394
OUT049,FDW21,1404.1569
OUT049,NCN41,1957.4219
OUT049,FDN52,1294.2542
OUT049,FDT45,985.84143
OUT049,NCR54,3350.3633
OUT049,FDG45,3858.1257
OUT049,DRE15,1266.1132
OUT049,FDW10,2479.5388
OUT049,FDO51,777.23145
OUT049,FDB57,3888.9578
OUT049,FDV12,1640.1735
OUT049,FDH52,954.61957
OUT049,FDQ24,5218.307
OUT049,FDV39,3447.5315
OUT049,FDB21,4136.976
OUT049,FDA48,3620.6191
OUT049,FDX26,3286.84
OUT049,FDS08,1798.4542
OUT049,DRC13,1898.9261
OUT049,FDY26,6063.4863
OUT049,FDN60,2890.9814
OUT049,FDP46,1408.9473
OUT049,NCQ29,3244.827
OUT049,FDF39,4785.925
OUT049,FDE38,2847.434
OUT049,FDI04,3543.719
OUT049,FDT56,1153.0765
OUT049,FDP21,3286.13
OUT049,FDF33,2172.8616
OUT049,FDY03,2394.7188
OUT049,NCN30,1428.1638
OUT049,FDN24,1133.7522
OUT049,DRH01,2466.4368
OUT049,FDB14,1426.7201
OUT049,FDM16,1128.4656
OUT049,FDA08,2776.718
OUT049,FDR12,2568.559
OUT049,FDW60,3325.7075
OUT049,NCN26,1765.5736
